x,y,z,lx,ly,lz
3.28,3.13,1.25,0.1,0.1,0.1
1.83,3.13,1.25,0.1,0.1,0.1
1.43,1.27,1.25,0.1,0.1,0.1
2.88,1.27,1.25,0.1,0.1,0.1
4.73,2.17,1.25,0.1,0.1,0.1
0.5,0.5,1.25,0.1,0.1,0.1
1,0.5,1.25,0.1,0.1,0.1
1.5,0.5,1.25,0.1,0.1,0.1
2,0.5,1.25,0.1,0.1,0.1
2.5,0.5,1.25,0.1,0.1,0.1
3,0.5,1.25,0.1,0.1,0.1
3.5,0.5,1.25,0.1,0.1,0.1
4,0.5,1.25,0.1,0.1,0.1
4.5,0.5,1.25,0.1,0.1,0.1
5,0.5,1.25,0.1,0.1,0.1
5.5,0.5,1.25,0.1,0.1,0.1
0.5,1,1.25,0.1,0.1,0.1
1,1,1.25,0.1,0.1,0.1
1.5,1,1.25,0.1,0.1,0.1
2,1,1.25,0.1,0.1,0.1
2.5,1,1.25,0.1,0.1,0.1
3,1,1.25,0.1,0.1,0.1
3.5,1,1.25,0.1,0.1,0.1
4,1,1.25,0.1,0.1,0.1
4.5,1,1.25,0.1,0.1,0.1
5,1,1.25,0.1,0.1,0.1
5.5,1,1.25,0.1,0.1,0.1
0.5,1.5,1.25,0.1,0.1,0.1
1,1.5,1.25,0.1,0.1,0.1
1.5,1.5,1.25,0.1,0.1,0.1
2,1.5,1.25,0.1,0.1,0.1
2.5,1.5,1.25,0.1,0.1,0.1
3,1.5,1.25,0.1,0.1,0.1
3.5,1.5,1.25,0.1,0.1,0.1
4,1.5,1.25,0.1,0.1,0.1
4.5,1.5,1.25,0.1,0.1,0.1
5,1.5,1.25,0.1,0.1,0.1
5.5,1.5,1.25,0.1,0.1,0.1
0.5,2,1.25,0.1,0.1,0.1
1,2,1.25,0.1,0.1,0.1
1.5,2,1.25,0.1,0.1,0.1
2,2,1.25,0.1,0.1,0.1
2.5,2,1.25,0.1,0.1,0.1
3,2,1.25,0.1,0.1,0.1
3.5,2,1.25,0.1,0.1,0.1
4,2,1.25,0.1,0.1,0.1
4.5,2,1.25,0.1,0.1,0.1
5,2,1.25,0.1,0.1,0.1
5.5,2,1.25,0.1,0.1,0.1
0.5,2.5,1.25,0.1,0.1,0.1
1,2.5,1.25,0.1,0.1,0.1
1.5,2.5,1.25,0.1,0.1,0.1
2,2.5,1.25,0.1,0.1,0.1
2.5,2.5,1.25,0.1,0.1,0.1
3,2.5,1.25,0.1,0.1,0.1
3.5,2.5,1.25,0.1,0.1,0.1
4,2.5,1.25,0.1,0.1,0.1
4.5,2.5,1.25,0.1,0.1,0.1
5,2.5,1.25,0.1,0.1,0.1
5.5,2.5,1.25,0.1,0.1,0.1
0.5,3,1.25,0.1,0.1,0.1
1,3,1.25,0.1,0.1,0.1
1.5,3,1.25,0.1,0.1,0.1
2,3,1.25,0.1,0.1,0.1
2.5,3,1.25,0.1,0.1,0.1
3,3,1.25,0.1,0.1,0.1
3.5,3,1.25,0.1,0.1,0.1
4,3,1.25,0.1,0.1,0.1
4.5,3,1.25,0.1,0.1,0.1
5,3,1.25,0.1,0.1,0.1
5.5,3,1.25,0.1,0.1,0.1
0.5,3.5,1.25,0.1,0.1,0.1
1,3.5,1.25,0.1,0.1,0.1
1.5,3.5,1.25,0.1,0.1,0.1
2,3.5,1.25,0.1,0.1,0.1
2.5,3.5,1.25,0.1,0.1,0.1
3,3.5,1.25,0.1,0.1,0.1
3.5,3.5,1.25,0.1,0.1,0.1
4,3.5,1.25,0.1,0.1,0.1
4.5,3.5,1.25,0.1,0.1,0.1
5,3.5,1.25,0.1,0.1,0.1
5.5,3.5,1.25,0.1,0.1,0.1
0.5,4,1.25,0.1,0.1,0.1
1,4,1.25,0.1,0.1,0.1
1.5,4,1.25,0.1,0.1,0.1
2,4,1.25,0.1,0.1,0.1
2.5,4,1.25,0.1,0.1,0.1
3,4,1.25,0.1,0.1,0.1
3.5,4,1.25,0.1,0.1,0.1
4,4,1.25,0.1,0.1,0.1
4.5,4,1.25,0.1,0.1,0.1
5,4,1.25,0.1,0.1,0.1
5.5,4,1.25,0.1,0.1,0.1
0.5,4.5,1.25,0.1,0.1,0.1
1,4.5,1.25,0.1,0.1,0.1
1.5,4.5,1.25,0.1,0.1,0.1
2,4.5,1.25,0.1,0.1,0.1
2.5,4.5,1.25,0.1,0.1,0.1
3,4.5,1.25,0.1,0.1,0.1
3.5,4.5,1.25,0.1,0.1,0.1
4,4.5,1.25,0.1,0.1,0.1
4.5,4.5,1.25,0.1,0.1,0.1
5,4.5,1.25,0.1,0.1,0.1
5.5,4.5,1.25,0.1,0.1,0.1
0.5,5,1.25,0.1,0.1,0.1
1,5,1.25,0.1,0.1,0.1
1.5,5,1.25,0.1,0.1,0.1
2,5,1.25,0.1,0.1,0.1
2.5,5,1.25,0.1,0.1,0.1
3,5,1.25,0.1,0.1,0.1
3.5,5,1.25,0.1,0.1,0.1
4,5,1.25,0.1,0.1,0.1
4.5,5,1.25,0.1,0.1,0.1
5,5,1.25,0.1,0.1,0.1
5.5,5,1.25,0.1,0.1,0.1
